City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nsanje,MW,-16.92,35.262,71.87,53,0,5.21,clear sky
80,Kaeo,NZ,-35.1,173.7833,49.32,93,95,7.52,overcast clouds
81,Tiksi,RU,71.6872,128.8694,47.77,92,19,5.03,few clouds
82,Bambous Virieux,MU,-20.3428,57.7575,70.05,52,40,18.41,light rain
83,Sept-Iles,CA,50.2001,-66.3821,67.05,75,1,5.01,clear sky
84,Broken Hill,AU,-31.95,141.4333,51.55,71,100,21.61,overcast clouds
85,Kodiak,US,57.79,-152.4072,56.71,88,100,0.0,overcast clouds
86,Norman Wells,CA,65.282,-126.8329,49.75,77,100,9.08,overcast clouds
87,Chifeng,CN,42.2683,118.9636,65.82,67,100,1.77,overcast clouds
88,Kuleshovka,RU,47.078,39.5579,84.94,28,0,8.84,clear sky
89,Nossa Senhora Das Dores,BR,-10.4917,-37.1933,76.03,76,33,7.99,scattered clouds
90,New Norfolk,AU,-42.7826,147.0587,39.9,76,17,1.01,few clouds
91,Jamestown,US,42.097,-79.2353,79.05,48,40,6.91,scattered clouds
92,Rikitea,PF,-23.1203,-134.9692,73.2,76,100,22.82,overcast clouds
93,Vrangel,RU,42.7297,133.0839,69.04,92,100,3.51,overcast clouds
94,Ancud,CL,-41.8697,-73.8203,51.22,93,100,14.23,light rain
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,73,100,15.95,overcast clouds
96,Aparecida Do Taboado,BR,-20.0867,-51.0936,67.64,34,32,15.35,scattered clouds
97,Syamzha,RU,60.0158,41.0614,53.17,91,0,3.42,clear sky
98,Springbok,ZA,-29.6643,17.8865,49.24,60,78,3.09,broken clouds
99,Mahina,PF,-17.5065,-149.489,78.57,69,75,8.05,light rain
100,Kingaroy,AU,-26.5333,151.8333,39.24,100,9,1.14,clear sky
101,Okha,RU,53.5739,142.9478,55.62,86,47,5.32,scattered clouds
102,Lorengau,PG,-2.0226,147.2712,80.49,80,100,8.77,overcast clouds
103,Champerico,GT,14.3,-91.9167,90.14,66,82,5.55,broken clouds
104,Cap-Aux-Meules,CA,47.3821,-61.8597,64.33,80,51,13.82,broken clouds
105,Macae,BR,-22.3708,-41.7869,83.95,51,100,6.91,light rain
106,Saldanha,ZA,-33.0117,17.9442,57.25,92,100,3.0,overcast clouds
107,Touros,BR,-5.1989,-35.4608,80.02,62,5,14.14,clear sky
108,Tongchuan,CN,35.0806,109.0897,75.97,81,86,3.11,overcast clouds
109,Katsuura,JP,35.1333,140.3,80.55,91,100,12.8,overcast clouds
110,Vanavara,RU,60.34,102.2797,52.95,92,19,0.72,few clouds
111,Nanortalik,GL,60.1432,-45.2371,45.84,77,77,4.97,broken clouds
112,Isla Vista,US,34.4133,-119.861,91.99,45,0,5.93,clear sky
113,Mildura,AU,-34.2,142.15,52.07,76,100,13.35,light rain
114,Mahebourg,MU,-20.4081,57.7,70.09,52,40,18.41,scattered clouds
115,Tura,IN,25.5198,90.2201,73.96,90,98,6.62,overcast clouds
116,Tanete,ID,-3.9443,119.7848,73.51,99,100,5.26,overcast clouds
117,Sangar,RU,63.9242,127.4739,52.03,92,0,2.04,clear sky
118,Ratnagiri,IN,16.9833,73.3,78.85,88,100,21.27,moderate rain
119,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,2.3,scattered clouds
120,Uaua,BR,-9.8414,-39.4817,86.7,25,0,6.67,clear sky
121,Cape Town,ZA,-33.9258,18.4232,57.11,93,75,10.36,broken clouds
122,Kidal,ML,18.4411,1.4078,99.48,23,39,4.81,scattered clouds
123,Chuy,UY,-33.6971,-53.4616,54.88,64,0,7.02,clear sky
124,Muros,ES,42.7762,-9.0603,79.16,85,52,3.11,broken clouds
125,Cascais,PT,38.6979,-9.4215,74.55,74,0,9.22,clear sky
126,Tessalit,ML,20.1986,1.0114,96.46,25,59,17.43,light rain
127,Cap Malheureux,MU,-19.9842,57.6142,69.48,59,95,8.99,overcast clouds
128,Fatsa,TR,41.0278,37.5014,72.57,83,0,6.53,clear sky
129,Bengkulu,ID,-3.8004,102.2655,75.31,89,19,4.32,few clouds
130,Baruun-Urt,MN,46.6806,113.2792,58.23,49,100,5.01,overcast clouds
131,Waikuku,NZ,-43.3,172.6833,40.01,82,100,14.25,overcast clouds
132,Bredasdorp,ZA,-34.5322,20.0403,52.93,93,100,4.34,overcast clouds
133,Sinazongwe,ZM,-17.2614,27.4618,70.25,38,0,2.75,clear sky
134,Ostrovnoy,RU,68.0531,39.5131,57.92,80,100,20.89,light rain
135,Tottori,JP,35.5,134.2333,78.44,85,100,7.29,overcast clouds
136,Mount Gambier,AU,-37.8333,140.7667,45.39,93,100,9.69,light rain
137,Shubarkuduk,KZ,49.1447,56.4872,78.15,33,5,9.51,clear sky
138,Lixourion,GR,38.2019,20.4314,79.59,71,7,8.68,clear sky
139,Mahibadhoo,MV,3.7833,72.9667,81.03,82,56,7.85,broken clouds
140,Mbarara,UG,-0.608,30.65,71.64,45,100,1.45,overcast clouds
141,Dangara,IN,29.6799,75.8931,89.58,57,100,7.47,overcast clouds
142,Celestun,MX,20.8667,-90.4,85.24,67,70,7.94,broken clouds
143,Mangrol,IN,21.1167,70.1167,80.46,91,100,17.58,overcast clouds
144,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,57,16.55,light rain
145,Ahipara,NZ,-35.1667,173.1667,48.9,86,85,7.72,light rain
146,Fortuna,US,40.5982,-124.1573,78.93,54,20,5.75,few clouds
147,Hay River,CA,60.8156,-115.7999,77.41,36,100,15.05,overcast clouds
148,Hasaki,JP,35.7333,140.8333,79.29,90,100,15.32,overcast clouds
149,Quelimane,MZ,-17.8786,36.8883,73.35,83,20,6.91,few clouds
150,Florianopolis,BR,-27.6146,-48.5012,58.41,88,100,14.97,moderate rain
151,Lac Du Bonnet,CA,50.2536,-96.0612,72.1,41,0,11.81,clear sky
152,Ugoofaaru,MV,5.6667,73.0,81.05,84,13,15.7,few clouds
153,Sorland,NO,67.667,12.6934,55.26,97,100,27.25,light rain
154,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.76,19,0,5.35,clear sky
155,Seymchan,RU,62.8833,152.4333,61.2,64,100,3.49,overcast clouds
156,Namibe,AO,-15.1961,12.1522,62.06,90,37,8.1,scattered clouds
157,Aketi,CD,2.7388,23.7833,76.98,73,100,1.72,overcast clouds
158,Opuwo,NA,-18.0607,13.84,70.2,18,0,5.59,clear sky
159,Nuuk,GL,64.1835,-51.7216,40.87,100,100,4.0,overcast clouds
160,Pevek,RU,69.7008,170.3133,37.6,95,95,5.73,overcast clouds
161,Nizhnevartovsk,RU,60.9344,76.5531,51.82,100,0,4.47,clear sky
162,Hilo,US,19.7297,-155.09,88.29,93,65,1.01,broken clouds
163,Cutro,IT,39.0353,16.9819,74.66,57,75,4.29,broken clouds
164,Castro,BR,-24.7911,-50.0119,47.05,91,100,13.44,overcast clouds
